,input_testData,MR_Transformed,output_testInput,output_MR,MR_checker
35,"[-7, -19, -2, 12, 9, -3, -14, 19, 9, -11, 13, -12, 15]","[-19, 13, 19, -7, -2, 9, -14, 9, 12, -11, 15, -12, -3]",9,27,Not-violated
36,"[-11, -9, 4, 1, -11, -8, -6, 8, 5, 17, 0, 1]","[1, 5, 4, 17, -6, -9, 8, -8, -11, -11, 0, 1]",-9,-27,Not-violated
37,"[0, 15, -6, -10, -3]","[-3, 0, -10, -6, 15]",-4,-12,Violated
38,"[-2, 3, 6, 10, -10, 17, 5, 18, -1, 11, 9, 5, 17]","[5, 17, 6, 9, -2, -10, 3, 18, -1, 11, 10, 5, 17]",88,264,Not-violated
39,"[-14, 1, -16, 19, -15, -4, -17, -17, 10, -2, -20, -20, -4]","[10, -14, -20, -2, -4, -16, -20, -15, -17, 19, -17, -4, 1]",-99,-297,Violated
40,"[13, -9, -5, -20, -6, -3]","[-6, 13, -3, -20, -5, -9]",-30,-90,Violated
41,"[2, 1, 18, -12, 12, -4, -17, -6, -16, 15, 13, 9, 7]","[1, 15, -6, 18, -12, 9, 12, 13, -16, -4, 2, -17, 7]",22,66,Not-violated
42,"[3, 2, 18, 0, 16]","[3, 18, 0, 16, 2]",39,117,Not-violated
43,"[-17, 4, -9, -3, 15, -16, 0, -10, -6, -4, -2]","[-4, -9, -17, -16, -3, -10, 0, -2, 4, 15, -6]",-48,-144,Violated
44,"[-5, 10, 11]","[10, 11, -5]",16,48,Not-violated
45,"[-12, 13, -1, 19, 4, -1, 13, -18, 4, 0, -4, 7, -18]","[-1, 4, 13, -1, -12, 7, 19, -18, 13, -4, 4, -18, 0]",6,18,Violated
46,"[10, 17, -11]","[17, -11, 10]",16,48,Violated
47,"[-9, 6, -20, -20, 4, 11, 3, -3, 0, -9, -1, -8]","[3, -3, 11, -9, -9, 6, -20, -20, 0, -1, 4, -8]",-46,-138,Violated
48,"[-20, 1, 2, 9]","[-20, 2, 1, 9]",-8,-24,Not-violated
49,"[9, -14, 3, -6, -19, 4]","[3, -6, 9, -19, -14, 4]",-23,-69,Not-violated
50,"[17, 1, 17]","[17, 1, 17]",35,105,Not-violated
51,"[9, 18, 5, -16, -16, 15, 11, 14, 13]","[13, 15, -16, 11, 5, -16, 14, 18, 9]",53,159,Not-violated
52,"[-5, -10, 19, -8, 3, -8, -6, 17, 18, -7, -3]","[18, -8, 19, -6, 17, -7, -8, 3, -10, -5, -3]",10,30,Violated
53,"[-5, -1, 14, 1]","[1, 14, -1, -5]",9,27,Not-violated
54,"[9, -15, 17, -18, -15, 1]","[-18, 9, -15, 17, 1, -15]",-21,-63,Not-violated
55,"[-20, -2, 6, 8, 18, -12]","[18, -20, -12, -2, 6, 8]",-2,-6,Violated
56,"[-3, 4, 7, 3, 9, -9, 2, 6]","[6, 4, 2, 3, 9, 7, -9, -3]",19,57,Not-violated
57,"[-19, -9, 12, -19]","[12, -19, -9, -19]",-35,-105,Violated
58,"[-14, 13, 13, -15, 10, -10, 15, -3, -14, -3, -1, -9, -14, 1]","[-3, -15, -14, 10, 13, -1, -14, -3, -9, 13, -14, 1, 15, -10]",-31,-93,Not-violated
59,"[-4, -13, -16, -2, 16, -11, -17, 5, 7, -5]","[-4, -16, -5, -13, 7, -2, 5, 16, -17, -11]",-40,-120,Violated
60,"[7, 11, 3, -4, 10, -8, -11]","[11, 10, 3, -8, 7, -11, -4]",8,24,Violated
61,"[3, 2, 6, 1, -18, 16, 7, -6, -1, 4]","[3, -1, 1, -6, -18, 7, 4, 2, 6, 16]",14,42,Not-violated
62,"[-18, 11, -9, 11, 13, 14, -16, -20, 9, -18, 7, 15, 9]","[13, 7, 9, -18, 11, -20, 11, 15, 9, -16, -9, -18, 14]",8,24,Not-violated
63,"[-16, -2, 0, 7, -9, -18, 10, -7, 6, 13]","[-18, 13, -2, 7, 10, -9, -16, 6, 0, -7]",-16,-48,Not-violated
64,"[-20, 10, 8, -10, 16, 15, -13, 2, 11, 16, 0]","[16, -20, 10, 16, 2, 8, 11, -10, 15, 0, -13]",35,105,Not-violated
65,"[12, -6, 15, -3, -20, 11, -2, -3]","[-20, 15, 12, -3, -3, 11, -2, -6]",4,12,Violated
66,"[-3, 5, -18, 2, -4, -13, 17, -3, -12, -8, -4, 9]","[9, 17, -4, -4, -13, -18, 5, -12, -8, -3, 2, -3]",-32,-96,Not-violated
67,"[4, -13, 0, -10, -7, -19, -4, 17, 16, -4, -14, 16, 10, -3]","[17, -13, 16, -4, -19, 0, -3, 10, -14, -10, -4, 4, -7, 16]",-11,-33,Violated
68,"[-4, 4, 18]","[-4, 4, 18]",18,54,Not-violated
69,"[3, -19, 0, -10, 13, 0, -1, -19, -3, -14, 9, -19]","[3, 13, -19, -19, -19, 0, 0, -1, -3, -14, 9, -10]",-60,-180,Violated
70,"[17, 6, -6, -9, 14]","[14, -6, -9, 17, 6]",22,66,Not-violated
71,"[-8, 14, 19, 3, 0, 2, 19, 0]","[2, 19, -8, 0, 0, 3, 14, 19]",49,147,Not-violated
72,"[5, 19, 8, 15, -1, 2]","[5, -1, 8, 19, 2, 15]",48,144,Not-violated
73,"[13, -9, 2]","[2, 13, -9]",6,18,Not-violated
74,"[13, 6, -17, -11]","[6, -11, -17, 13]",-9,-27,Violated
75,"[-2, 15, 1, -7, 16, 6]","[6, 16, 1, 15, -7, -2]",29,87,Not-violated
76,"[16, -8, 17]","[16, -8, 17]",25,75,Not-violated
77,"[19, -11, -6, 11, 13, 0, 18, -2, 12]","[12, -11, 19, 13, -6, 0, 11, -2, 18]",54,162,Not-violated
78,"[-11, -5, 12, 15, -6]","[15, -6, -11, -5, 12]",5,15,Violated
79,"[10, -10, 0, -14, 4]","[10, -10, 4, 0, -14]",-10,-30,Not-violated
80,"[3, -9, -1, 15, 14, 11, -17, 14, -18, 1]","[11, 14, 15, -1, -17, -18, -9, 14, 1, 3]",13,39,Not-violated
81,"[-10, 10, -4, -8, 5, 6, 5, -11, 4, -14, 14, -13, -19, 2]","[-11, -8, -13, 6, -4, 2, -14, 14, 5, 4, 5, -19, 10, -10]",-33,-99,Not-violated
82,"[11, 16, 2]","[16, 2, 11]",29,87,Not-violated
83,"[-10, -9, -11, 5, 6, -20, -18, -13, -15, -18, 6, -19, -4]","[-11, -15, 5, -10, 6, -18, -13, -9, 6, -18, -4, -20, -19]",-120,-360,Violated
84,"[-20, 10, -11, -13]","[-11, 10, -13, -20]",-34,-102,Violated
85,"[-14, 11, 11, 9, -1, 2, -3, 13, -1, 6, 14]","[-1, 9, 13, 2, 11, -3, -14, 6, 14, 11, -1]",47,141,Not-violated
86,"[-12, 9, 0, 12, 14]","[9, 0, -12, 14, 12]",23,69,Not-violated
87,"[-2, 16, 11, -2, -15, -9, -14]","[-9, -14, 16, -15, -2, 11, -2]",-15,-45,Violated
88,"[-5, 7, 1, 17, 8]","[-5, 8, 17, 7, 1]",28,84,Not-violated
89,"[1, -3, 13, -12, -4, -16, 7, -19]","[-3, -12, 7, 13, 1, -4, -19, -16]",-33,-99,Violated
90,"[10, 5, 16, 17, 19, -1, -15]","[10, 16, 5, -15, -1, 19, 17]",51,153,Violated
91,"[9, -20, -20, -18, 17, -14, 19, -16, -2, 0, -12, 9, -12, 7]","[-12, -2, 17, 19, 9, 0, 9, -12, 7, -20, -14, -16, -18, -20]",-53,-159,Not-violated
92,"[5, 2, 18, 2, -13]","[-13, 18, 5, 2, 2]",14,42,Violated
93,"[-11, 13, -8, 8, 7, -5, -6, -7, 15, 18, -11]","[-7, -11, -8, 8, 7, -11, 18, 13, -6, 15, -5]",13,39,Violated
94,"[-18, -6, 2, 7, -11, 10, -4, 6, 17, 7, 3, -7]","[7, 6, 7, -4, 17, -18, -6, 2, -7, 3, 10, -11]",6,18,Violated
95,"[-20, 9, 1, -6, -3, -18, 9, 7, -13, -9, 3, 14, -7, -11]","[1, -18, 14, 9, -6, -20, -7, 7, -9, 3, -13, -3, -11, 9]",-44,-132,Violated
96,"[7, -10, 4, 17, -1, 18]","[17, 18, 7, -10, 4, -1]",35,105,Not-violated
97,"[16, -15, 13, 14, -18, -8, -2]","[-8, -15, 14, 16, -2, 13, -18]",0,0,Violated
98,"[-15, -13, -20, 14]","[-20, -15, 14, -13]",-34,-102,Not-violated
99,"[-14, 15, 10, 18, -8, 10, 17, -9, 14, 7, -4]","[18, 7, -9, -14, -4, 17, 10, 10, 15, 14, -8]",56,168,Violated
100,,,25,75,Violated
101,"[8, -16, 4, 5, -17, -12, -7, 12, 13, -17, 7, -7]","[-7, 8, -12, 5, -17, -17, -16, 12, 4, 13, -7, 7]",-34,-102,Violated
102,"[-4, -6, 9, 3, 2, 6, -15, 16, -12, -9, -10, 18]","[3, 9, -15, 2, 6, 16, -12, -4, 18, -9, -10, -6]",-49,-147,Violated
103,"[-19, 3, -7, 13, -7, 9, -11, -14, 9, -3]","[9, 13, -7, -3, 9, -19, 3, -11, -7, -14]",16,48,Not-violated
104,"[-18, 18, 7, -7, 3, 0, -2, -4]","[0, 7, -2, -18, 3, -4, 18, -7]",-76,-228,Violated
105,"[9, -20, 19, -4, 1, 0, -13, -13, -4, -18]","[-13, -18, 1, 19, 9, -4, -4, 0, -20, -13]",-31,-93,Not-violated
106,"[-6, 8, -15]","[-15, 8, -6]",-14,-42,Violated
107,"[-10, 9, 2, 19, 8, 6, -10, -12, -14, 9, -14, -6, -9]","[-6, 8, -10, -14, -12, 6, 19, 2, 9, -14, 9, -9, -10]",10,30,Not-violated
108,"[3, -10, 3, 4, -11, -10, 1, 14, -20]","[-11, -10, 1, -20, -10, 4, 14, 3, 3]",3,9,Violated
109,"[-18, 15, 18, 12, -19, 4, 16, 14, -19, -15, -15, -7, 6]","[6, 4, -19, -15, -18, 15, 18, -19, 14, -7, -15, 16, 12]",30,90,Violated
110,"[14, -2, 13, -12, 4]","[-12, 13, -2, 4, 14]",26,78,Not-violated
111,"[-13, 3, 11, -7, 1, -5]","[-7, -5, 1, -13, 3, 11]",2,6,Not-violated
112,"[-13, -6, 12, -15, 0, 11, 15, 7, 15, 4, 11, 14, -18]","[7, 11, 15, -13, 15, 4, -18, -6, 0, 14, -15, 12, 11]",-14,-42,Not-violated
113,"[-6, -14, -13]","[-6, -14, -13]",-32,-96,Violated
114,"[-4, 5, 15, 8, -15, -7, -7, 3, 19, -8, -10, 14, 2, -1]","[14, -10, -8, -4, 19, -7, -1, 3, 8, -15, 15, -7, 2, 5]",-31,-93,Not-violated
115,"[-15, -8, -20, 16, -7, 4, 8, -14, -18, -3]","[-3, 16, -20, -18, -7, -15, 4, -14, -8, 8]",-10,-30,Violated
116,"[-2, -19, 4, -14, -14, 18, 15, 7, -15, -2]","[-14, -2, 15, 4, 18, -2, 7, -15, -14, -19]",24,72,Violated
117,"[-6, -19, -12, -4, -5, 12, 18, -10]","[-6, -19, -4, 18, 12, -5, -10, -12]",-71,-213,Violated
118,"[-5, 18, 0, 14, 4, -19, 6, 4, -19, 17, -4, -18, 6]","[4, 4, 0, 14, -19, -5, 6, -18, 6, 17, -4, 18, -19]",25,75,Violated
119,"[-8, 13, -12, 16, 0, -3, 15, -12, 16, 5, -14, -10]","[16, -14, -10, -12, -3, -8, 0, 13, 16, 15, -12, 5]",24,72,Violated
120,"[9, 7, -5, 13, -13, 16, -4, 19, 10, -15, -14, 11, -6]","[19, 9, -15, -6, 11, 10, -5, 13, -4, -13, 16, -14, 7]",-65,-195,Violated
121,"[2, 10, -2, 9, -18]","[-2, -18, 9, 2, 10]",8,24,Violated
122,"[-1, -17, -2, -4, -11, -17]","[-2, -17, -1, -17, -11, -4]",-8,-24,Not-violated
123,"[16, -3, 8, 13, -12, 1, -3, 14, -3, 5, -8, 6, 8, -15]","[-3, 6, -3, -8, 16, 14, -15, 5, 8, 1, 13, -12, -3, 8]",-5,-15,Violated
124,"[14, 18, -10]","[18, -10, 14]",-44,-132,Violated
125,"[3, 12, -20, -17, 14, -19, 1, 17, 15, 3, 0, 7, -8, -1]","[-19, 17, 3, 14, -17, 12, -8, -20, 1, -1, 7, 15, 0, 3]",-24,-72,Not-violated
126,"[0, -16, 16, 14, -1, 11]","[-1, 11, 0, 16, -16, 14]",3,9,Violated
127,"[19, 14, 12, -20, -20, 0, -4, 8, -9, -5, -18, -16, -6]","[-4, -9, -16, -18, 8, 19, 12, -20, 0, -5, 14, -6, -20]",5,15,Violated
128,"[0, 5, 5, -16, -4]","[5, 0, 5, -4, -16]",-48,-144,Violated
129,"[-6, -4, -14, -5, -5, -7, -10]","[-10, -6, -14, -7, -5, -5, -4]",21,63,Not-violated
130,"[-12, -13, 15, -6]","[-6, -13, 15, -12]",-13,-39,Violated
131,"[-20, 19, -11, 19]","[19, -11, -20, 19]",-44,-132,Violated
132,"[-19, 19, -7, -18, 5, 17, 8, 4, 3, -5, -12, 16]","[3, 4, -19, 16, -7, -5, -12, -18, 17, 19, 5, 8]",11,33,Violated
133,"[-10, 7, 7, 2, 1, 14, 1, -20, 4, -20, 4, -1, 3]","[7, 14, 1, 4, 1, -20, 3, -10, -20, -1, 2, 7, 4]",14,42,Violated
134,"[2, -3, -7, -11, -10]","[2, -11, -10, -3, -7]",-44,-132,Violated
135,"[-13, -18, -10]","[-13, -10, -18]",-6,-18,Violated
136,"[-5, -13, -11, 9]","[-13, -5, -11, 9]",39,117,Not-violated
137,"[-16, 8, -1, 1, 8, 14, 11, -10, 6]","[11, -16, 1, -1, 8, 14, 6, 8, -10]",-77,-231,Not-violated
138,"[19, -12, 3, 19, -17]","[-12, 3, -17, 19, 19]",-66,-198,Violated
139,"[-11, -1, 2, 13, -18, 13, -9]","[-18, -1, -11, 2, -9, 13, 13]",-7,-21,Not-violated
140,"[-8, 13, 2, 13, -11]","[-11, 13, -8, 2, 13]",15,45,Violated
141,"[12, -16, 16, -17, 15, -8, 10, -5, -7, -1, -2, -4, -4, 8]","[15, -8, -5, 8, -7, 12, 16, -2, -17, 10, -4, -16, -1, -4]",13,39,Not-violated
142,"[-16, 1, 14, 13, -1, -3, 19, -1]","[13, -1, 14, -1, -3, 19, -16, 1]",-24,-72,Not-violated
143,"[8, -18, 5, -5, 18, -15, -3, -6]","[5, -3, -5, -18, 18, -6, -15, 8]",12,36,Not-violated
144,"[15, -12, -4, 15, -5, 10]","[15, 10, 15, -5, -4, -12]",-14,-42,Violated
145,"[10, -17, 14]","[-17, 14, 10]",41,123,Not-violated
146,"[5, 4, -14, -16, -12, 2]","[-16, 4, -14, -12, 2, 5]",-27,-81,Violated
147,"[15, -6, -1, 7, -6, -5]","[-1, 15, 7, -6, -6, -5]",-30,-90,Violated
148,"[3, 3, -8, -10]","[-8, 3, 3, -10]",22,66,Not-violated
149,"[3, -3, -9, -11, -14, 1, -4]","[-14, -4, -11, -3, 3, -9, 1]",4,12,Violated
150,"[7, -16, -19, -16, 0, 12, 8, 3, 8, 5, 18]","[3, 12, -16, -19, 8, 7, -16, 18, 5, 0, 8]",-15,-45,Not-violated
151,"[-15, 9, 13, -12, -8, -12]","[13, -12, -8, -12, -15, 9]",-8,-24,Violated
152,"[4, 8, -20, -16, 8, 5]","[4, 5, 8, -20, -16, 8]",-19,-57,Violated
153,"[-15, 3, 8, 2, 2, 11]","[2, 2, 8, 11, 3, -15]",14,42,Not-violated
154,"[18, -7, 6]","[6, -7, 18]",-35,-105,Violated
155,"[15, 2, 19, -9, 10, 9, -12, -3, 7, 16, 15, 19, -7, 5]","[15, -7, -9, 9, 19, 10, 7, -3, 19, 16, 15, 5, -12, 2]",18,54,Not-violated
156,"[19, 15, -18, -6, -20]","[19, -20, -18, 15, -6]",-27,-81,Violated
157,"[13, 0, -17, 6, 3, 0, -16, 13, 15, -14, 4, -19, 3]","[3, -14, 0, 13, 3, -19, 6, 15, 4, 0, -16, 13, -17]",35,105,Not-violated
158,"[16, 5, -11, 6, 8, 12, -6, 17]","[16, 8, 17, -11, 6, 12, 5, -6]",-35,-105,Violated
159,"[-20, 6, -19, 6, 13, -16, -2]","[6, -20, -16, 13, 6, -2, -19]",-13,-39,Not-violated
160,"[-19, 10, 19, -2, 1, -1, 17, -12, 9, 1, -3, -9, 13]","[13, -19, -9, 17, -3, -1, -12, 19, 9, 1, -2, 10, 1]",-45,-135,Violated
161,"[-10, -2, -17, -9, -3, 6, -13, 17, -13, -16, -5, -4, 1]","[-10, -13, -17, -9, 1, 17, -4, -5, -16, -13, -2, -3, 6]",7,21,Not-violated
162,"[-18, 0, -17, 4, -12, -4, -14, -19, 15, -4, 14]","[0, -18, -19, 14, -17, -4, -14, -12, 4, -4, 15]",-37,-111,Not-violated
163,"[2, 0, 16, -9, 14, 17, -2]","[16, 0, 17, -2, -9, 2, 14]",-31,-93,Not-violated
164,"[12, 2, 5, 4, 1]","[1, 4, 12, 2, 5]",-17,-51,Not-violated
165,"[3, -20, 13]","[13, 3, -20]",-44,-132,Not-violated
166,"[-7, -5, 19, 9]","[-7, -5, 9, 19]",15,45,Not-violated
167,"[7, 14, -18, -3, 5, 1, 16, 4]","[16, 4, -3, 5, -18, 14, 1, 7]",-30,-90,Not-violated
168,"[-15, -2, 12, -1, -20, 11, -18]","[-18, 11, -1, -15, -2, -20, 12]",-13,-39,Not-violated
169,"[-17, 4, -17, -2]","[-17, -2, -17, 4]",19,57,Not-violated
170,"[-20, 2, 5, 1, -2, -1, 12, 11, 19]","[1, 19, 2, 11, -1, -2, -20, 12, 5]",-12,-36,Not-violated
171,"[6, -1, -15, -13, 9, 0, -15, 4, -15, -4, -3, 9]","[9, -1, -13, 6, 0, 9, -15, -15, -4, -15, -3, 4]",-23,-69,Not-violated
172,"[1, 7, 0, -16, 0]","[7, -16, 0, 0, 1]",-24,-72,Not-violated
173,"[-16, -3, 16, -19, -17, 1, 0]","[-3, -19, 16, -17, -16, 0, 1]",24,72,Not-violated
174,"[-5, 0, 5]","[-5, 0, 5]",26,78,Violated
175,"[-5, -12, -3, 19, 17, -17]","[-17, 17, -5, 19, -12, -3]",-11,-33,Violated
176,"[-2, 16, -20, 13, 16, -19, 13, 9, -20, 6, -15]","[-20, 6, -19, 16, 16, -2, 13, 13, 9, -15, -20]",-22,-66,Violated
177,"[3, 16, 16, 14, 2, -14]","[2, 16, 16, 14, 3, -14]",9,27,Violated
178,"[-12, 5, -3, -11, -15, -2, -12, 15, -6, 13, 11, 14, 13, 7]","[-15, 15, -11, 14, 13, 7, 11, -6, -2, -3, 13, -12, -12, 5]",-47,-141,Violated
179,"[10, -7, -18, -3, 12, 12, -18, -12, -13, 8, -11]","[-12, -18, -7, -11, -3, 10, 12, -18, 12, 8, -13]",-14,-42,Not-violated
180,"[-19, -4, 4, -2, -7]","[-19, -2, 4, -7, -4]",-42,-126,Violated
181,"[16, 9, -15, 11, -8, -9, -18, -13, -5, -10, 15]","[16, 11, 9, 15, -8, -10, -5, -18, -15, -9, -13]",-22,-66,Violated
182,"[-5, -17, 19, 2, -4, 6, -1, -8, -17, 9, -5, -3, 5, 6]","[5, -17, 19, -4, 6, -8, 2, -5, -17, 9, -3, -1, -5, 6]",52,156,Violated
183,"[19, 11, 13, 1, 7, -4, 19]","[19, 7, 11, 1, -4, 19, 13]",-6,-18,Violated
184,"[12, 12, 14, 11, 9]","[14, 12, 11, 12, 9]",-37,-111,Not-violated
185,"[3, -4, -14, -3, 14, -16, 9, 5, -17, 8, 18, -10, -7]","[-14, 9, 8, -3, 14, 18, -10, -17, -16, 3, 5, -4, -7]",-26,-78,Violated
186,"[-20, 11, 6, -8, 17, -12, 3, -16]","[6, 17, 3, -12, 11, -20, -16, -8]",26,78,Violated
187,"[2, -6, -3, -11, 18, -19, 2]","[-19, -3, -11, 2, 2, 18, -6]",-24,-72,Violated
188,"[6, 17, -7, -6]","[-6, -7, 6, 17]",-27,-81,Violated
189,"[15, -9, 10]","[15, -9, 10]",-4,-12,Not-violated
190,"[7, -20, 6, 12, -18]","[-18, 12, 7, -20, 6]",-38,-114,Violated
191,"[3, 1, 15, 12, 4, -12, -2]","[15, 3, -2, 1, 4, 12, -12]",-43,-129,Violated
192,"[-13, -10, -3, -7, 11, 5, 13]","[5, 11, -3, -7, -10, 13, -13]",-52,-156,Violated
193,"[3, -10, 2, 16, -8, -3, -7, 15, 3, -2, 16]","[-10, 3, 3, 15, 16, -7, 2, -2, 16, -8, -3]",59,177,Not-violated
194,"[0, 0, 10, 14, -6, 1, -17]","[1, -6, 14, 0, 0, -17, 10]",-85,-255,Violated
195,"[12, 7, 14, 16, 13]","[14, 13, 16, 12, 7]",23,69,Not-violated
196,"[0, 14, -6, -3, 13]","[0, -3, -6, 14, 13]",4,12,Violated
197,"[12, 9, -4, 4, -14, -10, 14]","[-10, 14, 12, 9, 4, -14, -4]",-37,-111,Violated
198,"[-5, 7, -4, -7]","[-7, -4, -5, 7]",-41,-123,Violated
199,"[-4, 4, 15, -18, 13, -7, -9, -18]","[13, -7, 15, 4, -18, -18, -4, -9]",-58,-174,Violated
200,"[-11, -1, -11, -14, -11, 15, -18, 3, -4, -10, -1]","[15, -1, -1, -18, -4, -11, -14, -11, -10, 3, -11]",-45,-135,Violated
201,"[14, -6, 10, -3, -10, -20, 2, -5, 15, -3, -16, -9]","[-3, 10, -3, -16, -6, -10, -20, 15, -5, -9, 14, 2]",-66,-198,Not-violated
202,"[-7, -17, -12, 2, 8, 16, 11, 2, 14, -18, 0, 15]","[2, 15, -12, 8, -18, 11, 14, 2, 16, -17, 0, -7]",-32,-96,Violated
203,"[3, -12, -2, -12, 14, 18, 1, 4, 13, -11]","[18, -11, -2, 14, 4, -12, 1, 13, 3, -12]",-74,-222,Violated
204,"[5, -2, -2, 4, 12, -12]","[-12, -2, 4, 5, -2, 12]",-53,-159,Violated
205,"[5, -6, 19]","[5, -6, 19]",-3,-9,Not-violated
206,"[15, 17, 19, 0, -9, 5, 16, 14, -10, -2, 14, -13, 6, 14]","[16, 14, 19, 14, -13, 14, 6, 15, -10, 0, 5, -9, 17, -2]",-4,-12,Violated
207,"[18, 15, -14, 5, 18, -2, 9, -6, 14, -9, 5, 16]","[16, 9, -9, 15, 18, -14, 5, 18, 14, -6, 5, -2]",-4,-12,Not-violated
208,"[-4, -9, -13, 9, 6, 5, 0, 14, 14, 9]","[14, -9, 14, 9, 9, -13, 0, 5, -4, 6]",3,9,Not-violated
209,"[8, 13, -3, -8]","[8, 13, -8, -3]",2,6,Violated
210,"[9, 3, 12, -10]","[9, 12, -10, 3]",8,24,Not-violated
211,"[-2, -12, -9, -1, -13, -7, 4, 13]","[-9, -7, -13, -12, 4, 13, -1, -2]",28,84,Not-violated
212,"[10, 18, -2, -5, -8, -16, -2, 0, -3, -15, -8, -3]","[-8, -16, -8, -3, 0, -2, -15, -2, -5, 10, 18, -3]",30,90,Not-violated
213,"[-10, -3, -12, -10, 5, -5, 0, 13, -10]","[-10, 5, 13, -10, -10, -12, -5, -3, 0]",37,111,Not-violated
214,"[4, 3, -16]","[3, -16, 4]",14,42,Not-violated
